GenomeA	GenomeB	Mean_AAI
Pseudomonas alcaligenes NEB 585	Psychrobacter urativorans R10.10B	52.12
Pseudomonas alcaligenes NEB 585	Endozoicomonas numazuensis DSM 25634	56.87
Pseudomonas alcaligenes NEB 585	Moraxella porci CCUG 54912	52.97
Pseudomonas alcaligenes NEB 585	Oceanobacter kriegii DSM 6294	55.59
Pseudomonas alcaligenes NEB 585	Pseudomonas fluorescens F113	73.27
Pseudomonas alcaligenes NEB 585	Pseudomonas indica NBRC 103045	77.71
Pseudomonas alcaligenes NEB 585	Pseudomonas balearica DSM6083 (=SP1402)	74.17
Pseudomonas alcaligenes NEB 585	Acinetobacter bohemicus ANC 3994	53.38
Pseudomonas alcaligenes NEB 585	Pseudomonas anguilliseptica DSM 12111	77.68
Pseudomonas alcaligenes NEB 585	Marinomonas fungiae JCM 18476	55.10
Pseudomonas alcaligenes NEB 585	Azotobacter chroococcum NCIMB 8003	74.64
Pseudomonas alcaligenes NEB 585	Acinetobacter celticus ANC 4603	53.54
Pseudomonas alcaligenes NEB 585	Halomonas halodenitrificans DSM 735	56.86
Pseudomonas alcaligenes NEB 585	Moraxella osloensis CCUG 350	52.97
Pseudomonas alcaligenes NEB 585	Zymobacter palmae DSM 10491	54.90
Pseudomonas alcaligenes NEB 585	Acinetobacter equi 114	54.03
Pseudomonas alcaligenes NEB 585	Marinobacter hydrocarbonoclasticus ATCC 49840	56.97
Pseudomonas alcaligenes NEB 585	Pseudomonas borbori DSM 17834	77.51
Pseudomonas alcaligenes NEB 585	Marinagarivorans algicola Z1	55.42
Pseudomonas alcaligenes NEB 585	Acinetobacter beijerinckii CIP 110307	53.64
Pseudomonas alcaligenes NEB 585	Halomonas shengliensis CGMCC 1.6444	57.00
Pseudomonas alcaligenes NEB 585	Marinobacter segnicrescens CGMCC 1.6489	57.12
Pseudomonas alcaligenes NEB 585	Alcanivorax hongdengensis A-11-3	56.12
Pseudomonas alcaligenes NEB 585	Moraxella ovis 199/55	52.59
Pseudomonas alcaligenes NEB 585	Carnimonas nigrificans ATCC BAA-78	56.08
Pseudomonas alcaligenes NEB 585	Pseudomonas mendocina ymp	78.28
Pseudomonas alcaligenes NEB 585	Acinetobacter nectaris CIP 110549	53.14
Pseudomonas alcaligenes NEB 585	Marinobacter adhaerens HP15	56.90
Pseudomonas alcaligenes NEB 585	Pseudomonas kuykendallii NRRL B-59562	75.72
Pseudomonas alcaligenes NEB 585	Halomonas halocynthiae DSM 14573	56.70
Pseudomonas alcaligenes NEB 585	Acinetobacter towneri CIP 107472	54.03
Pseudomonas alcaligenes NEB 585	Halomonas pantelleriensis AAP	56.50
Pseudomonas alcaligenes NEB 585	Marinimicrobium agarilyticum DSM 16975	56.95
Pseudomonas alcaligenes NEB 585	Acinetobacter soli GFJ2	53.91
Pseudomonas alcaligenes NEB 585	Alcanivorax jadensis T9	55.85
Pseudomonas alcaligenes NEB 585	Pseudomonas otitidis DSM 17224	76.85
Pseudomonas alcaligenes NEB 585	Kushneria aurantia DSM 21353	55.43
Pseudomonas alcaligenes NEB 585	Acinetobacter defluvii WCHA30	53.78
Pseudomonas alcaligenes NEB 585	Marinomonas aquimarina CECT 5080	55.11
Pseudomonas alcaligenes NEB 585	Marinobacter salarius R9SW1	56.72
Pseudomonas alcaligenes NEB 585	Microbulbifer marinus CGMCC 1.10657	56.47
Pseudomonas alcaligenes NEB 585	Moraxella cuniculi DSM 21768	52.64
Pseudomonas alcaligenes NEB 585	Pseudomonas fuscovaginae LMG 2158	73.35
Pseudomonas alcaligenes NEB 585	Acinetobacter radioresistens CIP 103788	53.79
Pseudomonas alcaligenes NEB 585	Oblitimonas alkaliphila B4199	67.16
Pseudomonas alcaligenes NEB 585	Hahella ganghwensis DSM 17046	55.77
Pseudomonas alcaligenes NEB 585	Pseudomonas sagittaria JCM 18195	74.21
Pseudomonas alcaligenes NEB 585	Halomonas boliviensis LC1	56.09
Pseudomonas alcaligenes NEB 585	Ventosimonas gracilis CV58	67.58
Pseudomonas alcaligenes NEB 585	Halomonas salina B6	57.05
Pseudomonas alcaligenes NEB 585	Marinobacter subterrani JG233	56.93
Pseudomonas alcaligenes NEB 585	Moraxella catarrhalis BBH18	52.61
Pseudomonas alcaligenes NEB 585	Mangrovitalea sediminis M11-4	57.31
Pseudomonas alcaligenes NEB 585	Halomonas daqiaonensis CGMCC 1.9150	56.91
Pseudomonas alcaligenes NEB 585	Acinetobacter parvus CIP 108168	54.28
Pseudomonas alcaligenes NEB 585	Neptunomonas phycophila CECT 8716	56.04
Pseudomonas alcaligenes NEB 585	Pseudomonas oryzae KCTC 32247	74.27
Pseudomonas alcaligenes NEB 585	Halomonas xinjiangensis TRM 0175	56.71
Pseudomonas alcaligenes NEB 585	Dasania marina DSM 21967	56.14
Pseudomonas alcaligenes NEB 585	Halomonas taeanensis BH539	56.64
Pseudomonas alcaligenes NEB 585	Teredinibacter turnerae T7901	55.12
Pseudomonas alcaligenes NEB 585	Marinobacterium profundum PAMC 27536	57.07
Pseudomonas alcaligenes NEB 585	Marinomonas mediterranea MMB-1	54.51
Pseudomonas alcaligenes NEB 585	Pseudomonas resinovorans NBRC 106553	77.60
Pseudomonas alcaligenes NEB 585	Acinetobacter indicus CIP 110367	54.21
Pseudomonas alcaligenes NEB 585	Pseudomonas fulva 12-X	75.86
Pseudomonas alcaligenes NEB 585	Tamilnaduibacter salinus DSM 28688	56.68
Pseudomonas alcaligenes NEB 585	Terasakiispira papahanaumokuakeensis PH27A	56.82
Pseudomonas alcaligenes NEB 585	Nitrincola lacisaponensis 4CA	57.09
Pseudomonas alcaligenes NEB 585	Psychrobacter phenylpyruvicus DSM 7000	52.11
Pseudomonas alcaligenes NEB 585	Neptuniibacter caesariensis MED92	56.14
Pseudomonas alcaligenes NEB 585	Marinobacter antarcticus CGMCC 1.10835	56.92
Pseudomonas alcaligenes NEB 585	Acinetobacter apis ANC 5114	53.52
Pseudomonas alcaligenes NEB 585	Cobetia crustatorum JO1	56.40
Pseudomonas alcaligenes NEB 585	Acinetobacter schindleri ACE	53.88
Pseudomonas alcaligenes NEB 585	Halomonas cupida DSM 4740	56.14
Pseudomonas alcaligenes NEB 585	Spongiibacter tropicus DSM 19543	56.71
Pseudomonas alcaligenes NEB 585	Neptuniibacter marinus ATR 1.1	56.32
Pseudomonas alcaligenes NEB 585	Psychrobacter pacificensis DSM 23406	52.25
Pseudomonas alcaligenes NEB 585	Pseudomonas xinjiangensis NRRL B-51270	65.27
Pseudomonas alcaligenes NEB 585	Marinobacterium georgiense DSM 11526	57.22
Pseudomonas alcaligenes NEB 585	Acinetobacter johnsonii XBB1	53.83
Pseudomonas alcaligenes NEB 585	Marinobacterium jannaschii DSM 6295	56.43
Pseudomonas alcaligenes NEB 585	Halomonas anticariensis FP35	56.55
Pseudomonas alcaligenes NEB 585	Pseudomonas sabulinigri JCM 14963	65.18
Pseudomonas alcaligenes NEB 585	Pseudohaliea rubra DSM 19751	56.57
Pseudomonas alcaligenes NEB 585	Pseudomonas saudimassiliensis 12M76 air	65.97
Pseudomonas alcaligenes NEB 585	Marinomonas profundimaris D104	54.77
Pseudomonas alcaligenes NEB 585	Halotalea alkalilenta IHB B 13600	56.32
Pseudomonas alcaligenes NEB 585	Perlucidibaca piscinae DSM 21586	57.52
Pseudomonas alcaligenes NEB 585	Alcanivorax pacificus W11-5	56.43
Pseudomonas alcaligenes NEB 585	Marinobacter salinus Hb8	56.72
Pseudomonas alcaligenes NEB 585	Kangiella sediminilitoris KCTC 23892	53.82
Pseudomonas alcaligenes NEB 585	Pseudomonas zeshuii KACC 15471	70.96
Pseudomonas alcaligenes NEB 585	Alcanivorax dieselolei B5	55.74
Pseudomonas alcaligenes NEB 585	Psychrobacter alimentarius PAMC 27889	51.67
Pseudomonas alcaligenes NEB 585	Marinobacter persicus IBRC-M 10445	57.25
Pseudomonas alcaligenes NEB 585	Marinomonas polaris DSM 16579	54.43
Pseudomonas alcaligenes NEB 585	Pseudomonas formosensis JCM 18415	65.90
Pseudomonas alcaligenes NEB 585	Halomonas elongata HEK1	56.68
Pseudomonas alcaligenes NEB 585	Rugamonas rubra ATCC 43154	51.83
Pseudomonas alcaligenes NEB 585	Halomonas aestuarii Hb3	57.19
Marinospirillum insulare DSM 21763	Microbulbifer thermotolerans DAU221	56.01
Marinospirillum insulare DSM 21763	Acinetobacter brisouii CIP 110357	53.34
Marinospirillum insulare DSM 21763	Halomonas gudaonensis CGMCC 1.6133	58.71
Marinospirillum insulare DSM 21763	Halomonas subglaciescola ACAM 12	58.67
Marinospirillum insulare DSM 21763	Salinicola socius SMB35	58.00
Marinospirillum insulare DSM 21763	Marinomonas spartinae CECT 8886	55.38
Marinospirillum insulare DSM 21763	Oceanospirillum beijerinckii DSM 7166	59.57
Marinospirillum insulare DSM 21763	Halomonas huangheensis BJGMM-B45	58.10
Marinospirillum insulare DSM 21763	Halomonas ilicicola DSM 19980	58.91
Marinospirillum insulare DSM 21763	Microbulbifer yueqingensis CGMCC 1.10658	56.05
Marinospirillum insulare DSM 21763	Oceanospirillum maris DSM 6286	59.84
Marinospirillum insulare DSM 21763	Pseudomonas citronellolis SJTE-3	56.46
Marinospirillum insulare DSM 21763	Moraxella caviae CCUG 355	52.39
Marinospirillum insulare DSM 21763	Acinetobacter guillouiae NIPH 991	52.80
Marinospirillum insulare DSM 21763	Marinobacter nanhaiticus D15-8W	56.50
Marinospirillum insulare DSM 21763	Pseudomonas monteilii USDA-ARS-USMARC-56711	56.57
Marinospirillum insulare DSM 21763	Neptunomonas antarctica S3-22	56.30
Marinospirillum insulare DSM 21763	Alcanivorax nanhaiticus 19-m-6	55.63
Marinospirillum insulare DSM 21763	Amphritea atlantica DSM 18887	56.88
Marinospirillum insulare DSM 21763	Oleibacter marinus DSM 24913	55.33
Marinospirillum insulare DSM 21763	Kushneria avicenniae DSM 23439	56.94
Marinospirillum insulare DSM 21763	Pseudomonas jinjuensis JCM 21621	57.06
Marinospirillum insulare DSM 21763	Moraxella atlantae NBRC 14588	52.53
Marinospirillum insulare DSM 21763	Acinetobacter ursingii CIP 107286	52.73
Marinospirillum insulare DSM 21763	Nitrincola nitratireducens AK23	58.08
Marinospirillum insulare DSM 21763	Marinospirillum alkaliphilum DSM 21637	73.72
Marinospirillum insulare DSM 21763	Marinobacter nitratireducens AK21	56.81
Marinospirillum insulare DSM 21763	Marinobacter mobilis CGMCC 1.7059	57.07
Marinospirillum insulare DSM 21763	Microbulbifer mangrovi DD-13	56.06
Marinospirillum insulare DSM 21763	Cobetia marina JCM 21022	58.58
Marinospirillum insulare DSM 21763	Simiduia agarivorans SA1 = DSM 21679	55.20
Marinospirillum insulare DSM 21763	Pseudomonas salegens CECT 8338	56.92
Marinospirillum insulare DSM 21763	Pseudomonas stutzeri CGMCC 1.1803	56.65
Marinospirillum insulare DSM 21763	Pseudomonas nitroreducens NBRC 12694	56.78
Marinospirillum insulare DSM 21763	Acinetobacter tandoii CIP 107469	53.04
Marinospirillum insulare DSM 21763	Oleiphilus messinensis ME102	55.95
Marinospirillum insulare DSM 21763	Pseudomonas guineae LMG 24016	56.76
Marinospirillum insulare DSM 21763	Pseudomonas guangdongensis CCTCC 2012022	57.83
Marinospirillum insulare DSM 21763	Gilvimarinus chinensis DSM 19667	55.65
Marinospirillum insulare DSM 21763	Pseudomonas pachastrellae JCM 12285	57.15
Marinospirillum insulare DSM 21763	Marinobacter zhejiangensis CGMCC 1.7061	56.80
Marinospirillum insulare DSM 21763	Spongiibacter marinus DSM 19753	55.98
Marinospirillum insulare DSM 21763	Acinetobacter bouvetii CIP 107468	53.08
Marinospirillum insulare DSM 21763	Cellvibrio mixtus J3-8	55.21
Marinospirillum insulare DSM 21763	Marinobacter lipolyticus SM19	56.89
Marinospirillum insulare DSM 21763	Pseudomonas rhizosphaerae DSM 16299	56.46
Marinospirillum insulare DSM 21763	Marinobacterium stanieri DSM 7027	57.82
Marinospirillum insulare DSM 21763	Moraxella caprae DSM 19149	52.11
Marinospirillum insulare DSM 21763	Hahella chejuensis KCTC 2396	55.73
Marinospirillum insulare DSM 21763	Acinetobacter harbinensis HITLi 7	52.89
Marinospirillum insulare DSM 21763	Saccharospirillum impatiens DSM 12546	55.32
Marinospirillum insulare DSM 21763	Psychrobacter arcticus 273-4	52.21
Marinospirillum insulare DSM 21763	Perlucidibaca aquatica BK296	55.22
Marinospirillum insulare DSM 21763	Marinospirillum celere DSM 18438	70.77
Marinospirillum insulare DSM 21763	Halomonas muralis DSM 14789	59.17
Marinospirillum insulare DSM 21763	Halomonas campaniensis LS21	58.82
Marinospirillum insulare DSM 21763	Pseudomonas taeanensis MS-3	56.84
Marinospirillum insulare DSM 21763	Pseudomonas pohangensis DSM 17875	56.76
Marinospirillum insulare DSM 21763	Alkanindiges illinoisensis DSM 15370	53.62
Marinospirillum insulare DSM 21763	Acinetobacter qingfengensis ANC 4671	53.16
Marinospirillum insulare DSM 21763	Acinetobacter baumannii AB030	53.24
Marinospirillum insulare DSM 21763	Endozoicomonas atrinae WP70	55.51
Marinospirillum insulare DSM 21763	Marinobacterium rhizophilum DSM 18822	56.93
Marinospirillum insulare DSM 21763	Halomonas smyrnensis AAD6	59.24
Marinospirillum insulare DSM 21763	Pseudomonas azotifigens DSM 17556	56.60
Marinospirillum insulare DSM 21763	Neptunomonas qingdaonensis CGMCC 1.10971	56.64
Marinospirillum insulare DSM 21763	Azotobacter vinelandii CA	57.17
Marinospirillum insulare DSM 21763	Endozoicomonas montiporae CL-33	55.66
Marinospirillum insulare DSM 21763	Marinobacter santoriniensis NKSG1	56.98
Marinospirillum insulare DSM 21763	Moraxella oblonga NBRC 102422	51.75
Marinospirillum insulare DSM 21763	Cellvibrio japonicus Ueda107	55.40
Marinospirillum insulare DSM 21763	Microbulbifer agarilyticus GP101	55.85
Marinospirillum insulare DSM 21763	Acinetobacter gyllenbergii NIPH 230	52.90
Marinospirillum insulare DSM 21763	Acinetobacter boissieri ANC 4422	52.43
Marinospirillum insulare DSM 21763	Bermanella marisrubri RED65	55.34
Marinospirillum insulare DSM 21763	Marinomonas ushuaiensis DSM 15871	55.14
Marinospirillum insulare DSM 21763	Pseudomonas marincola JCM 14761	56.71
Marinospirillum insulare DSM 21763	Acinetobacter rudis DSM 24031	53.26
Marinospirillum insulare DSM 21763	Pseudomonas litoralis 2SM5	57.30
Marinospirillum insulare DSM 21763	Oceanicoccus sagamiensis NBRC 107125	55.83
Marinospirillum insulare DSM 21763	Marinomonas posidonica IVIA-Po-181	55.54
Marinospirillum insulare DSM 21763	Acinetobacter populi PBJ7	52.87
Marinospirillum insulare DSM 21763	Moraxella nonliquefaciens CCUG 348	51.83
Marinospirillum insulare DSM 21763	Congregibacter litoralis KT71	54.34
Marinospirillum insulare DSM 21763	Halomonas zincidurans B6	58.80
Marinospirillum insulare DSM 21763	Acinetobacter larvae BRTC-1	53.12
Marinospirillum insulare DSM 21763	Pseudomonas hussainii JCM 19513	57.14
Marinospirillum insulare DSM 21763	Pseudomonas caeni DSM 24390	58.15
Marinospirillum insulare DSM 21763	Kushneria marisflavi SW32	56.79
Marinospirillum insulare DSM 21763	Acinetobacter junii 65	53.25
Marinospirillum insulare DSM 21763	Halomonas lutea DSM 23508	58.65
Marinospirillum insulare DSM 21763	Halomonas saccharevitans CGMCC 1.6493	58.70
Marinospirillum insulare DSM 21763	Haliea salexigens DSM 19537	55.55
Marinospirillum insulare DSM 21763	Pseudomonas protegens CHA0	56.35
Marinospirillum insulare DSM 21763	Alcanivorax borkumensis SK2	55.50
Marinospirillum insulare DSM 21763	Halioglobus pacificus RR3-57	55.21
Marinospirillum insulare DSM 21763	Marinomonas atlantica Cmf 18.22	55.78
Marinospirillum insulare DSM 21763	Chromohalobacter salexigens DSM 3043	58.33
Marinospirillum insulare DSM 21763	Pseudomonas aestusnigri VGXO14	57.20
Marinospirillum insulare DSM 21763	Halomonas subterranea CGMCC 1.6495	58.33
Marinospirillum insulare DSM 21763	Halomonas desiderata SP1	59.14
Marinospirillum insulare DSM 21763	Gilvimarinus agarilyticus JEA5	55.54
Marinospirillum insulare DSM 21763	Pseudomonas psychrotolerans PRS08-11306	56.76
Marinospirillum insulare DSM 21763	Chromohalobacter japonicus CJ	58.14
Marinospirillum insulare DSM 21763	Marinobacter excellens HL-55	56.82
Marinospirillum insulare DSM 21763	Moraxella lincolnii CCUG 9405	51.82
Marinospirillum insulare DSM 21763	Acinetobacter gerneri CIP 107464	53.08
Marinospirillum insulare DSM 21763	Saccharophagus degradans 2-40	55.30
Marinospirillum insulare DSM 21763	Halioglobus japonicus NBRC 107739	55.47
Marinospirillum insulare DSM 21763	Halomonas utahensis P-halo	55.60
Marinospirillum insulare DSM 21763	Gynuella sunshinyii YC6258	54.64
Marinospirillum insulare DSM 21763	Pseudomonas pelagia CL-AP6	56.89
Marinospirillum insulare DSM 21763	Halomonas jeotgali Hwa	58.04
Marinospirillum insulare DSM 21763	Microbulbifer variabilis ATCC 700307	55.71
Marinospirillum insulare DSM 21763	Amphritea japonica JAMM 1866	57.27
Marinospirillum insulare DSM 21763	Aidingimonas halophila DSM 19219	58.22
Marinospirillum insulare DSM 21763	Psychrobacter urativorans R10.10B	52.26
Marinospirillum insulare DSM 21763	Endozoicomonas numazuensis DSM 25634	55.27
Marinospirillum insulare DSM 21763	Moraxella porci CCUG 54912	52.12
Marinospirillum insulare DSM 21763	Oceanobacter kriegii DSM 6294	55.47
Marinospirillum insulare DSM 21763	Pseudomonas fluorescens F113	56.14
Marinospirillum insulare DSM 21763	Pseudomonas indica NBRC 103045	57.20
Marinospirillum insulare DSM 21763	Pseudomonas balearica DSM6083 (=SP1402)	57.06
Marinospirillum insulare DSM 21763	Acinetobacter bohemicus ANC 3994	53.21
Marinospirillum insulare DSM 21763	Pseudomonas anguilliseptica DSM 12111	56.95
Marinospirillum insulare DSM 21763	Marinomonas fungiae JCM 18476	55.53
Marinospirillum insulare DSM 21763	Azotobacter chroococcum NCIMB 8003	57.32
Marinospirillum insulare DSM 21763	Acinetobacter celticus ANC 4603	53.03
Marinospirillum insulare DSM 21763	Halomonas halodenitrificans DSM 735	59.17
Marinospirillum insulare DSM 21763	Moraxella osloensis CCUG 350	52.18
Marinospirillum insulare DSM 21763	Zymobacter palmae DSM 10491	56.46
Marinospirillum insulare DSM 21763	Acinetobacter equi 114	53.09
Marinospirillum insulare DSM 21763	Marinobacter hydrocarbonoclasticus ATCC 49840	57.21
Marinospirillum insulare DSM 21763	Pseudomonas borbori DSM 17834	56.75
Marinospirillum insulare DSM 21763	Marinagarivorans algicola Z1	54.89
Marinospirillum insulare DSM 21763	Acinetobacter beijerinckii CIP 110307	53.22
Marinospirillum insulare DSM 21763	Halomonas shengliensis CGMCC 1.6444	58.93
Marinospirillum insulare DSM 21763	Marinobacter segnicrescens CGMCC 1.6489	56.84
Marinospirillum insulare DSM 21763	Alcanivorax hongdengensis A-11-3	55.58
Marinospirillum insulare DSM 21763	Moraxella ovis 199/55	52.51
Marinospirillum insulare DSM 21763	Carnimonas nigrificans ATCC BAA-78	57.19
Marinospirillum insulare DSM 21763	Pseudomonas mendocina ymp	56.69
Marinospirillum insulare DSM 21763	Acinetobacter nectaris CIP 110549	52.96
Marinospirillum insulare DSM 21763	Marinobacter adhaerens HP15	57.02
Marinospirillum insulare DSM 21763	Pseudomonas kuykendallii NRRL B-59562	56.53
Marinospirillum insulare DSM 21763	Halomonas halocynthiae DSM 14573	58.88
Marinospirillum insulare DSM 21763	Acinetobacter towneri CIP 107472	53.62
Marinospirillum insulare DSM 21763	Halomonas pantelleriensis AAP	58.50
Marinospirillum insulare DSM 21763	Marinimicrobium agarilyticum DSM 16975	55.57
Marinospirillum insulare DSM 21763	Acinetobacter soli GFJ2	53.36
Marinospirillum insulare DSM 21763	Alcanivorax jadensis T9	55.35
Marinospirillum insulare DSM 21763	Pseudomonas otitidis DSM 17224	56.90
Marinospirillum insulare DSM 21763	Kushneria aurantia DSM 21353	56.55
Marinospirillum insulare DSM 21763	Acinetobacter defluvii WCHA30	53.07
Marinospirillum insulare DSM 21763	Marinomonas aquimarina CECT 5080	55.45
Marinospirillum insulare DSM 21763	Marinobacter salarius R9SW1	56.64
Marinospirillum insulare DSM 21763	Microbulbifer marinus CGMCC 1.10657	55.93
Marinospirillum insulare DSM 21763	Moraxella cuniculi DSM 21768	52.06
Marinospirillum insulare DSM 21763	Pseudomonas fuscovaginae LMG 2158	56.12
Marinospirillum insulare DSM 21763	Acinetobacter radioresistens CIP 103788	53.18
Marinospirillum insulare DSM 21763	Oblitimonas alkaliphila B4199	58.10
Marinospirillum insulare DSM 21763	Hahella ganghwensis DSM 17046	56.01
Marinospirillum insulare DSM 21763	Pseudomonas sagittaria JCM 18195	57.85
Marinospirillum insulare DSM 21763	Halomonas boliviensis LC1	58.65
Marinospirillum insulare DSM 21763	Ventosimonas gracilis CV58	56.02
Marinospirillum insulare DSM 21763	Halomonas salina B6	58.68
Marinospirillum insulare DSM 21763	Marinobacter subterrani JG233	57.31
Marinospirillum insulare DSM 21763	Moraxella catarrhalis BBH18	52.02
Marinospirillum insulare DSM 21763	Mangrovitalea sediminis M11-4	56.58
Marinospirillum insulare DSM 21763	Halomonas daqiaonensis CGMCC 1.9150	58.64
Marinospirillum insulare DSM 21763	Acinetobacter parvus CIP 108168	53.22
Marinospirillum insulare DSM 21763	Neptunomonas phycophila CECT 8716	56.74
Marinospirillum insulare DSM 21763	Pseudomonas oryzae KCTC 32247	57.88
Marinospirillum insulare DSM 21763	Halomonas xinjiangensis TRM 0175	58.74
Marinospirillum insulare DSM 21763	Dasania marina DSM 21967	55.68
Marinospirillum insulare DSM 21763	Halomonas taeanensis BH539	58.93
Marinospirillum insulare DSM 21763	Teredinibacter turnerae T7901	54.47
Marinospirillum insulare DSM 21763	Marinobacterium profundum PAMC 27536	57.12
Marinospirillum insulare DSM 21763	Marinomonas mediterranea MMB-1	55.21
Marinospirillum insulare DSM 21763	Pseudomonas resinovorans NBRC 106553	56.77
Marinospirillum insulare DSM 21763	Acinetobacter indicus CIP 110367	53.36
Marinospirillum insulare DSM 21763	Pseudomonas fulva 12-X	56.51
Marinospirillum insulare DSM 21763	Tamilnaduibacter salinus DSM 28688	56.09
Marinospirillum insulare DSM 21763	Terasakiispira papahanaumokuakeensis PH27A	62.36
Marinospirillum insulare DSM 21763	Nitrincola lacisaponensis 4CA	58.31
Marinospirillum insulare DSM 21763	Psychrobacter phenylpyruvicus DSM 7000	52.63
Marinospirillum insulare DSM 21763	Neptuniibacter caesariensis MED92	56.46
Marinospirillum insulare DSM 21763	Marinobacter antarcticus CGMCC 1.10835	57.06
Marinospirillum insulare DSM 21763	Acinetobacter apis ANC 5114	52.71
Marinospirillum insulare DSM 21763	Cobetia crustatorum JO1	58.63
Marinospirillum insulare DSM 21763	Acinetobacter schindleri ACE	53.15
Marinospirillum insulare DSM 21763	Halomonas cupida DSM 4740	57.95
Marinospirillum insulare DSM 21763	Spongiibacter tropicus DSM 19543	56.21
Marinospirillum insulare DSM 21763	Neptuniibacter marinus ATR 1.1	56.93
Marinospirillum insulare DSM 21763	Psychrobacter pacificensis DSM 23406	52.28
Marinospirillum insulare DSM 21763	Pseudomonas xinjiangensis NRRL B-51270	57.04
Marinospirillum insulare DSM 21763	Marinobacterium georgiense DSM 11526	57.85
Marinospirillum insulare DSM 21763	Acinetobacter johnsonii XBB1	52.82
Marinospirillum insulare DSM 21763	Marinobacterium jannaschii DSM 6295	56.63
Marinospirillum insulare DSM 21763	Halomonas anticariensis FP35	58.42
Marinospirillum insulare DSM 21763	Pseudomonas sabulinigri JCM 14963	57.08
Marinospirillum insulare DSM 21763	Pseudohaliea rubra DSM 19751	55.64
Marinospirillum insulare DSM 21763	Pseudomonas saudimassiliensis 12M76 air	57.56
Marinospirillum insulare DSM 21763	Marinomonas profundimaris D104	55.08
Marinospirillum insulare DSM 21763	Halotalea alkalilenta IHB B 13600	56.86
Marinospirillum insulare DSM 21763	Perlucidibaca piscinae DSM 21586	55.46
Marinospirillum insulare DSM 21763	Alcanivorax pacificus W11-5	55.41
Marinospirillum insulare DSM 21763	Marinobacter salinus Hb8	57.26
Marinospirillum insulare DSM 21763	Kangiella sediminilitoris KCTC 23892	53.62
Marinospirillum insulare DSM 21763	Pseudomonas zeshuii KACC 15471	56.62
Marinospirillum insulare DSM 21763	Alcanivorax dieselolei B5	55.48
Marinospirillum insulare DSM 21763	Psychrobacter alimentarius PAMC 27889	51.99
Marinospirillum insulare DSM 21763	Marinobacter persicus IBRC-M 10445	56.72
Marinospirillum insulare DSM 21763	Marinomonas polaris DSM 16579	55.29
Marinospirillum insulare DSM 21763	Pseudomonas formosensis JCM 18415	57.67
Marinospirillum insulare DSM 21763	Halomonas elongata HEK1	58.68
Marinospirillum insulare DSM 21763	Rugamonas rubra ATCC 43154	50.76
Marinospirillum insulare DSM 21763	Halomonas aestuarii Hb3	59.01
Microbulbifer thermotolerans DAU221	Acinetobacter brisouii CIP 110357	52.95
Microbulbifer thermotolerans DAU221	Halomonas gudaonensis CGMCC 1.6133	56.82
Microbulbifer thermotolerans DAU221	Halomonas subglaciescola ACAM 12	56.21
Microbulbifer thermotolerans DAU221	Salinicola socius SMB35	55.72
Microbulbifer thermotolerans DAU221	Marinomonas spartinae CECT 8886	54.86
Microbulbifer thermotolerans DAU221	Oceanospirillum beijerinckii DSM 7166	56.99
Microbulbifer thermotolerans DAU221	Halomonas huangheensis BJGMM-B45	55.71
Microbulbifer thermotolerans DAU221	Halomonas ilicicola DSM 19980	56.63
Microbulbifer thermotolerans DAU221	Microbulbifer yueqingensis CGMCC 1.10658	77.03
Microbulbifer thermotolerans DAU221	Oceanospirillum maris DSM 6286	56.94
Microbulbifer thermotolerans DAU221	Pseudomonas citronellolis SJTE-3	56.25
Microbulbifer thermotolerans DAU221	Moraxella caviae CCUG 355	52.39
Microbulbifer thermotolerans DAU221	Acinetobacter guillouiae NIPH 991	52.61
Microbulbifer thermotolerans DAU221	Marinobacter nanhaiticus D15-8W	56.41
Microbulbifer thermotolerans DAU221	Pseudomonas monteilii USDA-ARS-USMARC-56711	56.37
Microbulbifer thermotolerans DAU221	Neptunomonas antarctica S3-22	56.44
Microbulbifer thermotolerans DAU221	Alcanivorax nanhaiticus 19-m-6	56.09
Microbulbifer thermotolerans DAU221	Amphritea atlantica DSM 18887	57.13
Microbulbifer thermotolerans DAU221	Oleibacter marinus DSM 24913	56.37
Microbulbifer thermotolerans DAU221	Kushneria avicenniae DSM 23439	54.61
Microbulbifer thermotolerans DAU221	Pseudomonas jinjuensis JCM 21621	56.65
Microbulbifer thermotolerans DAU221	Moraxella atlantae NBRC 14588	52.59
Microbulbifer thermotolerans DAU221	Acinetobacter ursingii CIP 107286	52.98
Microbulbifer thermotolerans DAU221	Nitrincola nitratireducens AK23	56.51
Microbulbifer thermotolerans DAU221	Marinospirillum alkaliphilum DSM 21637	57.09
Microbulbifer thermotolerans DAU221	Marinobacter nitratireducens AK21	56.84
Microbulbifer thermotolerans DAU221	Marinobacter mobilis CGMCC 1.7059	56.67
Microbulbifer thermotolerans DAU221	Microbulbifer mangrovi DD-13	73.98
Microbulbifer thermotolerans DAU221	Cobetia marina JCM 21022	55.80
Microbulbifer thermotolerans DAU221	Simiduia agarivorans SA1 = DSM 21679	59.78
Microbulbifer thermotolerans DAU221	Pseudomonas salegens CECT 8338	56.96
Microbulbifer thermotolerans DAU221	Pseudomonas stutzeri CGMCC 1.1803	56.53
Microbulbifer thermotolerans DAU221	Pseudomonas nitroreducens NBRC 12694	56.37
Microbulbifer thermotolerans DAU221	Acinetobacter tandoii CIP 107469	52.72
